Tag,Name,Keyword,VR,VM
"(0008,9205)",Pixel Presentation,Pixel​Presentation,CS,1
"(0008,9206)",Volumetric Properties,Volumetric​Properties,CS,1
"(0008,9207)",Volume Based Calculation Technique,Volume​Based​Calculation​Technique,CS,1
"(0008,9208)",Complex Image Component,Complex​Image​Component,CS,1
"(0008,9209)",Acquisition Contrast,Acquisition​Contrast,CS,1
"(0008,9460)",Skip Frame Range Flag,Skip​Frame​Range​Flag,CS,1
"(0010,0022)",Type of Patient ID,Type​Of​Patient​ID,CS,1
"(0010,0035)",Patient's Alternative Calendar,Patient​Alternative​Calendar,CS,1
"(0010,0040)",Patient's Sex,Patient​Sex,CS,1
"(0010,0200)",Quality Control Subject,Quality​Control​Subject,CS,1
"(0010,21A0)",Smoking Status,Smoking​Status,CS,1
"(0010,2203)",Patient's Sex Neutered,Patient​Sex​Neutered,CS,1
"(0010,2210)",Anatomical Orientation Type,Anatomical​Orientation​Type,CS,1
"(0010,2298)",Responsible Person Role,Responsible​Person​Role,CS,1
"(0012,0053)",Longitudinal Temporal Event Type,Longitudinal​Temporal​Event​Type,CS,1
"(0012,0062)",Patient Identity Removed,Patient​Identity​Removed,CS,1
"(0012,0084)",Distribution Type,Distribution​Type,CS,1
"(0012,0085)",Consent for Distribution Flag,Consent​For​Distribution​Flag,CS,1
"(0014,0050)",Component Shape,Component​Shape,CS,1
"(0014,0052)",Curvature Type,Curvature​Type,CS,1
"(0014,0101)",Secondary Approval Status,Secondary​Approval​Status,CS,1
"(0014,0107)",Other Approval Status,Other​Approval​Status,CS,1-n
"(0014,0108)",Other Secondary Approval Status,Other​Secondary​Approval​Status,CS,1-n
"(0014,0205)",Data Element Conditionality,Data​Element​Conditionality,CS,1
"(0014,201A)",Indication Type,Indication​Type,CS,1-n
"(0014,201C)",Indication Disposition,Indication​Disposition,CS,1
"(0014,2208)",Coordinate System Data Set Mapping,Coordinate​System​Data​Set​Mapping,CS,1
"(0014,220C)",Coordinate System Axis Type,Coordinate​System​Axis​Type,CS,1
"(0014,220E)",Coordinate System Axis Units,Coordinate​System​Axis​Units,CS,1
"(0014,2228)",Transformed Axis Units,Transformed​Axis​Units,CS,1
"(0014,4004)",Pulser Type,Pulser​Type,CS,1
"(0014,400A)",Amplifier Type,Amplifier​Type,CS,1
"(0014,4013)",Element Shape,Element​Shape,CS,1
"(0014,4026)",Modulation Type,Modulation​Type,CS,1
"(0014,4032)",Acquisition Compression Type,Acquisition​Compression​Type,CS,1
"(0014,4036)",DAC Type,DAC​Type,CS,1
"(0014,4081)",Drive Type,Drive​Type,CS,1
"(0014,5105)",Connector Type,Connector​Type,CS,1
"(0014,5109)",Wedge Element 1 Position,Wedge​Element​1​Position,CS,1
"(0014,511E)",Wedge Curve,Wedge​Curve,CS,1
"(0016,0061)",Interoperability Index,Interoperability​Index,CS,1
"(0016,0071)",GPS Latitude​ Ref,GPS​Latitude​Ref,CS,1
"(0016,0073)",GPS Longitude Ref,GPS​Longitude​​Ref,CS,1
"(0016,0079)",GPS Status,GPS​Status,CS,1
"(0016,007A)",GPS Measure ​Mode,GPS​Measure​​Mode,CS,1
"(0016,007C)",GPS Speed​ Ref,GPS​Speed​Ref,CS,1
"(0016,007E)",GPS Track ​Ref,GPS​Track​​Ref,CS,1
"(0016,0080)",GPS Img​ Direction Ref,GPS​Img​Direction​Ref,CS,1
"(0016,0083)",GPS Dest ​Latitude Ref,GPS​Dest​Latitude​Ref,CS,1
"(0016,0085)",GPS Dest​ Longitude Ref,GPS​Dest​Longitude​Ref,CS,1
"(0016,0087)",GPS Dest ​Bearing Ref,GPS​Dest​Bearing​Ref,CS,1
"(0016,0089)",GPS Dest ​Distance Ref,GPS​Dest​Distance​Ref,CS,1
"(0016,1001)",Light Source Polarization,Light​Source​Polarization,CS,1
"(0016,1003)",Contact Method,Contact​Method,CS,1
"(0016,1004)",Immersion Media,Immersion​Media,CS,1-n
"(0018,0015)",Body Part Examined,Body​Part​Examined,CS,1
"(0018,0020)",Scanning Sequence,Scanning​Sequence,CS,1-n
"(0018,0021)",Sequence Variant,Sequence​Variant,CS,1-n
"(0018,0022)",Scan Options,Scan​Options,CS,1-n
"(0018,0023)",MR Acquisition Type,MR​Acquisition​Type,CS,1
"(0018,0025)",Angio Flag,Angio​Flag,CS,1
"(0018,0037)",Therapy Type,Therapy​Type,CS,1
"(0018,0038)",Intervention Status,Intervention​Status,CS,1
"(0018,0039)",Therapy Description,Therapy​Description,CS,1
"(0018,0042)",Initial Cine Run State,Initial​Cine​Run​State,CS,1
"(0018,0071)",Acquisition Termination Condition,Acquisition​Termination​Condition,CS,1
"(0018,0073)",Acquisition Start Condition,Acquisition​Start​Condition,CS,1
"(0018,1048)",Contrast/Bolus Ingredient,Contrast​Bolus​Ingredient,CS,1
"(0018,106A)",Synchronization Trigger,Synchronization​Trigger,CS,1
"(0018,1080)",Beat Rejection Flag,Beat​Rejection​Flag,CS,1
"(0018,1134)",Table Motion,Table​Motion,CS,1
"(0018,113A)",Table Type,Table​Type,CS,1
"(0018,1140)",Rotation Direction,Rotation​Direction,CS,1
"(0018,1147)",Field of View Shape,Field​Of​View​Shape,CS,1
"(0018,1155)",Radiation Setting,Radiation​Setting,CS,1
"(0018,1156)",Rectification Type,Rectification​Type,CS,1
"(0018,115A)",Radiation Mode,Radiation​Mode,CS,1
"(0018,1166)",Grid,Grid,CS,1-n
"(0018,1181)",Collimator Type,Collimator​Type,CS,1
"(0018,1191)",Anode Target Material,Anode​Target​Material,CS,1
"(0018,11B2)",Acquired Subtraction Mask Flag,Acquired​Subtraction​Mask​Flag,CS,1
"(0018,11B3)",Fluoroscopy Persistence Flag,Fluoroscopy​Persistence​Flag,CS,1
"(0018,11B4)",Fluoroscopy Last Image Hold Persistence Flag,Fluoroscopy​Last​Image​Hold​Persistence​Flag,CS,1
"(0018,11B6)",Contrast/Bolus Auto Injection Trigger Flag,Contrast​Bolus​Auto​Injection​Trigger​Flag,CS,1
"(0018,11BE)",Reconstruction Pipeline Type,Reconstruction​Pipeline​Type,CS,1
"(0018,11C0)",Applied Mask Subtraction Flag,Applied​Mask​Subtraction​Flag,CS,1
"(0018,1301)",Whole Body Technique,Whole​Body​Technique,CS,1-n
"(0018,1312)",In-plane Phase Encoding Direction,In​Plane​Phase​Encoding​Direction,CS,1
"(0018,1315)",Variable Flip Angle Flag,Variable​Flip​Angle​Flag,CS,1
"(0018,1402)",Cassette Orientation,Cassette​Orientation,CS,1
"(0018,1403)",Cassette Size,Cassette​Size,CS,1
"(0018,1490)",Tomo Type,Tomo​Type,CS,1
"(0018,1491)",Tomo Class,Tomo​Class,CS,1
"(0018,1500)",Positioner Motion,Positioner​Motion,CS,1
"(0018,1508)",Positioner Type,Positioner​Type,CS,1
"(0018,1600)",Shutter Shape,Shutter​Shape,CS,1-3
"(0018,1630)",Outline Shape Type,Outline​Shape​Type,CS,1
"(0018,1700)",Collimator Shape,Collimator​Shape,CS,1-3
"(0018,1800)",Acquisition Time Synchronized,Acquisition​Time​Synchronized,CS,1
"(0018,1802)",Time Distribution Protocol,Time​Distribution​Protocol,CS,1
"(0018,2020)",Digitizing Device Transport Direction,Digitizing​Device​Transport​Direction,CS,1
"(0018,3100)",IVUS Acquisition,IVUS​Acquisition,CS,1
"(0018,5100)",Patient Position,Patient​Position,CS,1
"(0018,5101)",View Position,View​Position,CS,1
"(0018,6031)",Transducer Type,Transducer​Type,CS,1
"(0018,7000)",Detector Conditions Nominal Flag,Detector​Conditions​Nominal​Flag,CS,1
"(0018,7004)",Detector Type,Detector​Type,CS,1
"(0018,7005)",Detector Configuration,Detector​Configuration,CS,1
"(0018,7024)",Detector Active Shape,Detector​Active​Shape,CS,1
"(0018,7034)",Field of View Horizontal Flip,Field​Of​View​Horizontal​Flip,CS,1
"(0018,7050)",Filter Material,Filter​Material,CS,1-n
"(0018,7060)",Exposure Control Mode,Exposure​Control​Mode,CS,1
"(0018,7064)",Exposure Status,Exposure​Status,CS,1
"(0018,9004)",Content Qualification,Content​Qualification,CS,1
"(0018,9008)",Echo Pulse Sequence,Echo​Pulse​Sequence,CS,1
"(0018,9009)",Inversion Recovery,Inversion​Recovery,CS,1
"(0018,9010)",Flow Compensation,Flow​Compensation,CS,1
"(0018,9011)",Multiple Spin Echo,Multiple​Spin​Echo,CS,1
"(0018,9012)",Multi-planar Excitation,Multi​Planar​Excitation,CS,1
"(0018,9014)",Phase Contrast,Phase​Contrast,CS,1
"(0018,9015)",Time of Flight Contrast,Time​Of​Flight​Contrast,CS,1
"(0018,9016)",Spoiling,Spoiling,CS,1
"(0018,9017)",Steady State Pulse Sequence,Steady​State​Pulse​Sequence,CS,1
"(0018,9018)",Echo Planar Pulse Sequence,Echo​Planar​Pulse​Sequence,CS,1
"(0018,9020)",Magnetization Transfer,Magnetization​Transfer,CS,1
"(0018,9021)",T2 Preparation,T2Preparation,CS,1
"(0018,9022)",Blood Signal Nulling,Blood​Signal​Nulling,CS,1
"(0018,9024)",Saturation Recovery,Saturation​Recovery,CS,1
"(0018,9025)",Spectrally Selected Suppression,Spectrally​Selected​Suppression,CS,1
"(0018,9026)",Spectrally Selected Excitation,Spectrally​Selected​Excitation,CS,1
"(0018,9027)",Spatial Pre-saturation,Spatial​Presaturation,CS,1
"(0018,9028)",Tagging,Tagging,CS,1
"(0018,9029)",Oversampling Phase,Oversampling​Phase,CS,1
"(0018,9032)",Geometry of k-Space Traversal,Geometry​Of​K​Space​Traversal,CS,1
"(0018,9033)",Segmented k-Space Traversal,Segmented​K​Space​Traversal,CS,1
"(0018,9034)",Rectilinear Phase Encode Reordering,Rectilinear​Phase​Encode​Reordering,CS,1
"(0018,9036)",Partial Fourier Direction,Partial​Fourier​Direction,CS,1
"(0018,9037)",Cardiac Synchronization Technique,Cardiac​Synchronization​Technique,CS,1
"(0018,9043)",Receive Coil Type,Receive​Coil​Type,CS,1
"(0018,9044)",Quadrature Receive Coil,Quadrature​Receive​Coil,CS,1
"(0018,9048)",Multi-Coil Element Used,Multi​Coil​Element​Used,CS,1
"(0018,9051)",Transmit Coil Type,Transmit​Coil​Type,CS,1
"(0018,9054)",Volume Localization Technique,Volume​Localization​Technique,CS,1
"(0018,9059)",De-coupling,Decoupling,CS,1
"(0018,9060)",De-coupled Nucleus,Decoupled​Nucleus,CS,1-2
"(0018,9062)",De-coupling Method,Decoupling​Method,CS,1
"(0018,9064)",k-space Filtering,K​Space​Filtering,CS,1
"(0018,9065)",Time Domain Filtering,Time​Domain​Filtering,CS,1-2
"(0018,9067)",Baseline Correction,Baseline​Correction,CS,1
"(0018,9075)",Diffusion Directionality,Diffusion​Directionality,CS,1
"(0018,9077)",Parallel Acquisition,Parallel​Acquisition,CS,1
"(0018,9078)",Parallel Acquisition Technique,Parallel​Acquisition​Technique,CS,1
"(0018,9081)",Partial Fourier,Partial​Fourier,CS,1
"(0018,9085)",Cardiac Signal Source,Cardiac​Signal​Source,CS,1
"(0018,9094)",Coverage of k-Space,Coverage​Of​K​Space,CS,1
"(0018,9100)",Resonant Nucleus,Resonant​Nucleus,CS,1-2
"(0018,9101)",Frequency Correction,Frequency​Correction,CS,1
"(0018,9147)",Diffusion Anisotropy Type,Diffusion​Anisotropy​Type,CS,1
"(0018,9166)",Bulk Motion Status,Bulk​Motion​Status,CS,1
"(0018,9169)",Cardiac Beat Rejection Technique,Cardiac​Beat​Rejection​Technique,CS,1
"(0018,9170)",Respiratory Motion Compensation Technique,Respiratory​Motion​Compensation​Technique,CS,1
"(0018,9171)",Respiratory Signal Source,Respiratory​Signal​Source,CS,1
"(0018,9172)",Bulk Motion Compensation Technique,Bulk​Motion​Compensation​Technique,CS,1
"(0018,9173)",Bulk Motion Signal Source,Bulk​Motion​Signal​Source,CS,1
"(0018,9174)",Applicable Safety Standard Agency,Applicable​Safety​Standard​Agency,CS,1
"(0018,9177)",Operating Mode Type,Operating​Mode​Type,CS,1
"(0018,9178)",Operating Mode,Operating​Mode,CS,1
"(0018,9179)",Specific Absorption Rate Definition,Specific​Absorption​Rate​Definition,CS,1
"(0018,9180)",Gradient Output Type,Gradient​Output​Type,CS,1
"(0018,9183)",Flow Compensation Direction,Flow​Compensation​Direction,CS,1
"(0018,9198)",First Order Phase Correction,First​Order​Phase​Correction,CS,1
"(0018,9199)",Water Referenced Phase Correction,Water​Referenced​Phase​Correction,CS,1
"(0018,9200)",MR Spectroscopy Acquisition Type,MR​Spectroscopy​Acquisition​Type,CS,1
"(0018,9214)",Respiratory Cycle Position,Respiratory​Cycle​Position,CS,1
"(0018,9236)",Cardiac Cycle Position,Cardiac​Cycle​Position,CS,1
"(0018,9250)",Arterial Spin Labeling Contrast,Arterial​Spin​Labeling​Contrast,CS,1
"(0018,9257)",ASL Context,ASL​Context,CS,1
"(0018,9259)",ASL Crusher Flag,ASL​Crusher​Flag,CS,1
"(0018,925C)",ASL Bolus Cut-off Flag,ASL​Bolus​Cutoff​Flag,CS,1
"(0018,9297)",Water Reference Acquisition,Water​Reference​Acquisition,CS,1
"(0018,9302)",Acquisition Type,Acquisition​Type,CS,1
"(0018,9315)",Reconstruction Algorithm,Reconstruction​Algorithm,CS,1
"(0018,9316)",Convolution Kernel Group,Convolution​Kernel​Group,CS,1
"(0018,9323)",Exposure Modulation Type,Exposure​Modulation​Type,CS,1-n
"(0018,9333)",Constant Volume Flag,Constant​Volume​Flag,CS,1
"(0018,9334)",Fluoroscopy Flag,Fluoroscopy​Flag,CS,1
"(0018,9342)",Contrast/Bolus Agent Administered,Contrast​Bolus​Agent​Administered,CS,1
"(0018,9343)",Contrast/Bolus Agent Detected,Contrast​Bolus​Agent​Detected,CS,1
"(0018,9344)",Contrast/Bolus Agent Phase,Contrast​Bolus​Agent​Phase,CS,1
"(0018,9361)",Multi-energy CT Acquisition,Multienergy​CT​Acquisition,CS,1
"(0018,9368)",Multi-energy Source Technique,Multienergy​Source​Technique,CS,1
"(0018,9372)",Multi-energy Detector Type,Multienergy​Detector​Type,CS,1
"(0018,937E)",Decomposition Method,Decomposition​Method,CS,1
"(0018,9410)",Planes in Acquisition,Planes​In​Acquisition,CS,1
"(0018,9420)",X-Ray Receptor Type,X​Ray​Receptor​Type,CS,1
"(0018,9425)",Contrast/Bolus Ingredient Opaque,Contrast​Bolus​Ingredient​Opaque,CS,1
"(0018,9427)",Intensifier Active Shape,Intensifier​Active​Shape,CS,1
"(0018,9435)",Exposure Control Sensing Region Shape,Exposure​Control​Sensing​Region​Shape,CS,1
"(0018,9457)",Plane Identification,Plane​Identification,CS,1
"(0018,9474)",C-arm Positioner Tabletop Relationship,C​Arm​Positioner​Tabletop​Relationship,CS,1
"(0018,9527)",Algorithm Type,Algorithm​Type,CS,1
"(0018,9559)",Positioner Primary Angle Direction,Positioner​Primary​Angle​Direction,CS,1
"(0018,9622)",Functional Settling Phase Frames Present,Functional​Settling​Phase​Frames​Present,CS,1
"(0018,9624)",Settling Phase Frame,Settling​Phase​Frame,CS,1
"(0018,9725)",Detector Geometry,Detector​Geometry,CS,1
"(0018,9738)",Attenuation Correction Source,Attenuation​Correction​Source,CS,1
"(0018,9755)",Time of Flight Information Used,Time​Of​Flight​Information​Used,CS,1
"(0018,9756)",Reconstruction Type,Reconstruction​Type,CS,1
"(0018,9758)",Decay Corrected,Decay​Corrected,CS,1
"(0018,9759)",Attenuation Corrected,Attenuation​Corrected,CS,1
"(0018,9760)",Scatter Corrected,Scatter​Corrected,CS,1
"(0018,9761)",Dead Time Corrected,Dead​Time​Corrected,CS,1
"(0018,9762)",Gantry Motion Corrected,Gantry​Motion​Corrected,CS,1
"(0018,9763)",Patient Motion Corrected,Patient​Motion​Corrected,CS,1
"(0018,9764)",Count Loss Normalization Corrected,Count​Loss​Normalization​Corrected,CS,1
"(0018,9765)",Randoms Corrected,Randoms​Corrected,CS,1
"(0018,9766)",Non-uniform Radial Sampling Corrected,Non​Uniform​Radial​Sampling​Corrected,CS,1
"(0018,9767)",Sensitivity Calibrated,Sensitivity​Calibrated,CS,1
"(0018,9768)",Detector Normalization Correction,Detector​Normalization​Correction,CS,1
"(0018,9769)",Iterative Reconstruction Method,Iterative​Reconstruction​Method,CS,1
"(0018,9770)",Attenuation Correction Temporal Relationship,Attenuation​Correction​Temporal​Relationship,CS,1
"(0018,9808)",Data Type,Data​Type,CS,1
"(0018,980B)",Aliased Data Type,Aliased​Data​Type,CS,1
"(0018,980C)",Position Measuring Device Used,Position​Measuring​Device​Used,CS,1
"(0018,9828)",Illumination Translation Flag,Illumination​Translation​Flag,CS,1
"(0018,9829)",Acoustic Coupling Medium Flag,Acoustic​Coupling​Medium​Flag,CS,1
"(0018,9905)",Offset Direction,Offset​Direction,CS,1
"(0018,9918)",Instruction Performed Flag,Instruction​Performed​Flag,CS,1
"(0018,9930)",Acquisition Motion,Acquisition​Motion,CS,1
"(0018,9944)",Auto KVP Selection Type,Auto​KVP​Selection​Type,CS,1
"(0018,9947)",Protocol Defined Patient Position,Protocol​Defined​Patient​Position,CS,1
"(0020,0020)",Patient Orientation,Patient​Orientation,CS,2
"(0020,0060)",Laterality,Laterality,CS,1
"(0020,0062)",Image Laterality,Image​Laterality,CS,1
"(0020,0080)",Masking Image,Masking​Image,CS,1-n
"(0020,31xx)",Source Image IDs,Source​Image​IDs,CS,1-n
"(0020,3401)",Modifying Device ID,Modifying​Device​ID,CS,1
"(0020,3402)",Modified Image ID,Modified​Image​ID,CS,1
"(0020,9072)",Frame Laterality,Frame​Laterality,CS,1
"(0020,9247)",Starting Respiratory Phase,Starting​Respiratory​Phase,CS,1
"(0020,9249)",Ending Respiratory Phase,Ending​Respiratory​Phase,CS,1
"(0020,9250)",Respiratory Trigger Type,Respiratory​Trigger​Type,CS,1
"(0020,9307)",Ultrasound Acquisition Geometry,Ultrasound​Acquisition​Geometry,CS,1
"(0020,930B)",Volume to Transducer Relationship,Volume​To​Transducer​Relationship,CS,1
"(0020,930C)",Patient Frame of Reference Source,Patient​Frame​Of​Reference​Source,CS,1
"(0020,9311)",Dimension Organization Type,Dimension​Organization​Type,CS,1
"(0022,0005)",Patient Eye Movement Commanded,Patient​Eye​Movement​Commanded,CS,1
"(0022,000D)",Pupil Dilated,Pupil​Dilated,CS,1
"(0022,0028)",Stereo Pairs Present,Stereo​Pairs​Present,CS,1
"(0022,0039)",Ophthalmic Image Orientation,Ophthalmic​Image​Orientation,CS,1
"(0022,1009)",Ophthalmic Axial Measurements Device Type,Ophthalmic​Axial​Measurements​Device​Type,CS,1
"(0022,1010)",Ophthalmic Axial Length Measurements Type,Ophthalmic​Axial​Length​Measurements​Type,CS,1
"(0022,1039)",Refractive Procedure Occurred,Refractive​Procedure​Occurred,CS,1
"(0022,1046)",Type of Optical Correction,Type​Of​Optical​Correction,CS,1
"(0022,1049)",Pre-Selected for Implantation,Pre​Selected​For​Implantation,CS,1
"(0022,112B)",Calculation Comment Type,Calculation​Comment​Type,CS,1
"(0022,1140)",Ophthalmic Axial Length Measurement Modified,Ophthalmic​Axial​Length​Measurement​Modified,CS,1
"(0022,1415)",Ophthalmic Mapping Device Type,Ophthalmic​Mapping​Device​Type,CS,1
"(0022,1466)",Registered Localizer Units,Registered​Localizer​Units,CS,1
"(0022,1515)",Ophthalmic Axial Length Method,Ophthalmic​Axial​Length​Method,CS,1
"(0022,1622)",Ophthalmic Volumetric Properties Flag,Ophthalmic​Volumetric​Properties​Flag,CS,1
"(0024,0012)",Visual Field Shape,Visual​Field​Shape,CS,1
"(0024,0037)",Presented Visual Stimuli Data Flag,Presented​Visual​Stimuli​Data​Flag,CS,1
"(0024,0039)",Excessive Fixation Losses Data Flag,Excessive​Fixation​Losses​Data​Flag,CS,1
"(0024,0040)",Excessive Fixation Losses,Excessive​Fixation​Losses,CS,1
"(0024,0045)",False Negatives Estimate Flag,False​Negatives​Estimate​Flag,CS,1
"(0024,0051)",Excessive False Negatives Data Flag,Excessive​False​Negatives​Data​Flag,CS,1
"(0024,0052)",Excessive False Negatives,Excessive​False​Negatives,CS,1
"(0024,0053)",False Positives Estimate Flag,False​Positives​Estimate​Flag,CS,1
"(0024,0055)",Catch Trials Data Flag,Catch​Trials​Data​Flag,CS,1
"(0024,0057)",Test Point Normals Data Flag,Test​Point​Normals​Data​Flag,CS,1
"(0024,0059)",Global Deviation Probability Normals Flag,Global​Deviation​Probability​Normals​Flag,CS,1
"(0024,0061)",Excessive False Positives Data Flag,Excessive​False​Positives​Data​Flag,CS,1
"(0024,0062)",Excessive False Positives,Excessive​False​Positives,CS,1
"(0024,0063)",Visual Field Test Normals Flag,Visual​Field​Test​Normals​Flag,CS,1
"(0024,0072)",Local Deviation Probability Normals Flag,Local​Deviation​Probability​Normals​Flag,CS,1
"(0024,0074)",Short Term Fluctuation Calculated,Short​Term​Fluctuation​Calculated,CS,1
"(0024,0076)",Short Term Fluctuation Probability Calculated,Short​Term​Fluctuation​Probability​Calculated,CS,1
"(0024,0078)",Corrected Localized Deviation From Normal Calculated,Corrected​Localized​Deviation​From​Normal​Calculated,CS,1
"(0024,0080)",Corrected Localized Deviation From Normal Probability Calculated,Corrected​Localized​Deviation​From​Normal​Probability​Calculated,CS,1
"(0024,0086)",Foveal Sensitivity Measured,Foveal​Sensitivity​Measured,CS,1
"(0024,0093)",Stimulus Results,Stimulus​Results,CS,1
"(0024,0095)",Retest Stimulus Seen,Retest​Stimulus​Seen,CS,1
"(0024,0102)",Generalized Defect Corrected Sensitivity Deviation Flag,Generalized​Defect​Corrected​Sensitivity​Deviation​Flag,CS,1
"(0024,0106)",Blind Spot Localized,Blind​Spot​Localized,CS,1
"(0024,0113)",Measurement Laterality,Measurement​Laterality,CS,1
"(0024,0117)",Foveal Point Normative Data Flag,Foveal​Point​Normative​Data​Flag,CS,1
"(0024,0120)",Screening Baseline Measured,Screening​Baseline​Measured,CS,1
"(0024,0124)",Screening Baseline Type,Screening​Baseline​Type,CS,1
"(0024,0338)",Index Normals Flag,Index​Normals​Flag,CS,1
"(0028,0004)",Photometric Interpretation,Photometric​Interpretation,CS,1
"(0028,0040)",Image Format,Image​Format,CS,1
"(0028,0051)",Corrected Image,Corrected​Image,CS,1-n
"(0028,0060)",Compression Code,Compression​Code,CS,1
"(0028,0065)",Compression Sequence,Compression​Sequence,CS,1-n
"(0028,0090)",Blocked Pixels,Blocked​Pixels,CS,1
"(0028,0300)",Quality Control Image,Quality​Control​Image,CS,1
"(0028,0301)",Burned In Annotation,Burned​In​Annotation,CS,1
"(0028,0302)",Recognizable Visual Features,Recognizable​Visual​Features,CS,1
"(0028,0303)",Longitudinal Temporal Information Modified,Longitudinal​Temporal​Information​Modified,CS,1
"(0028,0701)",Data Block Description,Data​Block​Description,CS,1-n
"(0028,08x0)",Code Label,Code​Label,CS,1-n
"(0028,0A02)",Pixel Spacing Calibration Type,Pixel​Spacing​Calibration​Type,CS,1
"(0028,1040)",Pixel Intensity Relationship,Pixel​Intensity​Relationship,CS,1
"(0028,1056)",VOI LUT Function,VOILUT​Function,CS,1
"(0028,1080)",Gray Scale,Gray​Scale,CS,1
"(0028,1090)",Recommended Viewing Mode,Recommended​Viewing​Mode,CS,1
"(0028,1300)",Breast Implant Present,Breast​Implant​Present,CS,1
"(0028,1350)",Partial View,Partial​View,CS,1
"(0028,135A)",Spatial Locations Preserved,Spatial​Locations​Preserved,CS,1
"(0028,1402)",Data Path Assignment,Data​Path​Assignment,CS,1
"(0028,1405)",Blending LUT 1 Transfer Function,Blending​LUT1Transfer​Function,CS,1
"(0028,140D)",Blending LUT 2 Transfer Function,Blending​LUT2Transfer​Function,CS,1
"(0028,140E)",Data Path ID,Data​Path​ID,CS,1
"(0028,140F)",RGB LUT Transfer Function,RGBLUT​Transfer​Function,CS,1
"(0028,1410)",Alpha LUT Transfer Function,Alpha​LUT​Transfer​Function,CS,1
"(0028,2002)",Color Space,Color​Space,CS,1
"(0028,2110)",Lossy Image Compression,Lossy​Image​Compression,CS,1
"(0028,2114)",Lossy Image Compression Method,Lossy​Image​Compression​Method,CS,1-n
"(0028,6023)",Frame of Interest Type,Frame​Of​Interest​Type,CS,1-n
"(0028,6101)",Mask Operation,Mask​Operation,CS,1
"(0028,7006)",System Status,System​Status,CS,1
"(0028,7013)",Measurement Functions,Measurement​Functions,CS,1-n
"(0028,7014)",Measurement Equipment Type,Measurement​Equipment​Type,CS,1
"(0028,7019)",Display Function Type,Display​Function​Type,CS,1
"(0028,7021)",White Point Flag,White​Point​Flag,CS,1
"(0028,7025)",Ambient Light Value Source,Ambient​Light​Value​Source,CS,1
"(0028,7026)",Measured Characteristics,Measured​Characteristics,CS,1-n
"(0028,7029)",Test Result,Test​Result,CS,1
"(0028,702B)",Test Image Validation,Test​Image​Validation,CS,1
"(0028,9003)",Signal Domain Columns,Signal​Domain​Columns,CS,1
"(0028,9108)",Data Representation,Data​Representation,CS,1
"(0028,9235)",Signal Domain Rows,Signal​Domain​Rows,CS,1
"(0028,9444)",Geometrical Properties,Geometrical​Properties,CS,1
"(0028,9446)",Image Processing Applied,Image​Processing​Applied,CS,1-n
"(0028,9454)",Mask Selection Mode,Mask​Selection​Mode,CS,1
"(0028,9474)",LUT Function,LUT​Function,CS,1
"(0028,9537)",Equipment Coordinate System Identification,Equipment​Coordinate​System​Identification,CS,1
"(0032,000A)",Study Status ID,Study​Status​ID,CS,1
"(0032,000C)",Study Priority ID,Study​Priority​ID,CS,1
"(0032,1055)",Study Component Status ID,Study​Component​Status​ID,CS,1
"(0034,0008)",Includes Imaging Subject,Includes​Imaging​Subject,CS,1
"(0034,000C)",Includes Information,Includes​Information,CS,1
"(0038,0008)",Visit Status ID,Visit​Status​ID,CS,1
