Tag,Name,Keyword,VR,VM,Remarks,Tag_cleaned
"(0008,0053)",Query/Retrieve View,Query​Retrieve​View,CS,1,,00080053
"(0008,0054)",Retrieve AE Title,Retrieve​AE​Title,AE,1-n,,00080054
"(0008,0055)",Station AE Title,Station​AE​Title,AE,1,,00080055
"(0008,0056)",Instance Availability,Instance​Availability,CS,1,,00080056
"(0008,0058)",Failed SOP Instance UID List,Failed​SOP​Instance​UID​List,UI,1-n,,00080058
"(0008,0060)",Modality,Modality,CS,1,,00080060
"(0008,0061)",Modalities in Study,Modalities​In​Study,CS,1-n,,00080061
"(0008,0062)",SOP Classes in Study,SOP​Classes​In​Study,UI,1-n,,00080062
"(0008,0063)",Anatomic Regions in Study Code Sequence,Anatomic​Regions​In​StudyC​ode​Sequence,SQ,1,,00080063
"(0008,0064)",Conversion Type,Conversion​Type,CS,1,,00080064
"(0008,0068)",Presentation Intent Type,Presentation​Intent​Type,CS,1,,00080068
"(0008,0070)",Manufacturer,Manufacturer,LO,1,,00080070
"(0008,0080)",Institution Name,Institution​Name,LO,1,,00080080
"(0008,0081)",Institution Address,Institution​Address,ST,1,,00080081
"(0008,0082)",Institution Code Sequence,Institution​Code​Sequence,SQ,1,,00080082
"(0008,0090)",Referring Physician's Name,Referring​Physician​Name,PN,1,,00080090
"(0008,0092)",Referring Physician's Address,Referring​Physician​Address,ST,1,,00080092
"(0008,0094)",Referring Physician's Telephone Numbers,Referring​Physician​Telephone​Numbers,SH,1-n,,00080094
"(0008,0096)",Referring Physician Identification Sequence,Referring​Physician​Identification​Sequence,SQ,1,,00080096
"(0008,009C)",Consulting Physician's Name,Consulting​Physician​Name,PN,1-n,,0008009C
"(0008,009D)",Consulting Physician Identification Sequence,Consulting​Physician​Identification​Sequence,SQ,1,,0008009D
"(0008,0100)",Code Value,Code​Value,SH,1,,00080100
"(0008,0101)",Extended Code Value,Extended​Code​Value,LO,1,DICOS,00080101
"(0008,0102)",Coding Scheme Designator,Coding​Scheme​Designator,SH,1,,00080102
"(0008,0103)",Coding Scheme Version,Coding​Scheme​Version,SH,1,,00080103
"(0008,0104)",Code Meaning,Code​Meaning,LO,1,,00080104
"(0008,0105)",Mapping Resource,Mapping​Resource,CS,1,,00080105
"(0008,0106)",Context Group Version,Context​Group​Version,DT,1,,00080106
"(0008,0107)",Context Group Local Version,Context​Group​Local​Version,DT,1,,00080107
"(0008,0108)",Extended Code Meaning,Extended​Code​Meaning,LT,1,DICOS,00080108
"(0008,0109)",Coding Scheme Resources Sequence,Coding​Scheme​Resources​Sequence,SQ,1,,00080109
"(0008,010A)",Coding Scheme URL Type,Coding​Scheme​URL​Type,CS,1,,0008010A
"(0008,010B)",Context Group Extension Flag,Context​Group​Extension​Flag,CS,1,,0008010B
"(0008,010C)",Coding Scheme UID,Coding​Scheme​UID,UI,1,,0008010C
"(0008,010D)",Context Group Extension Creator UID,Context​Group​Extension​Creator​UID,UI,1,,0008010D
"(0008,010E)",Coding Scheme URL,Coding​Scheme​URL,UR,1,,0008010E
"(0008,010F)",Context Identifier,Context​Identifier,CS,1,,0008010F
"(0008,0110)",Coding Scheme Identification Sequence,Coding​Scheme​Identification​Sequence,SQ,1,,00080110
"(0008,0112)",Coding Scheme Registry,Coding​Scheme​Registry,LO,1,,00080112
"(0008,0114)",Coding Scheme External ID,Coding​Scheme​External​ID,ST,1,,00080114
"(0008,0115)",Coding Scheme Name,Coding​Scheme​Name,ST,1,,00080115
"(0008,0116)",Coding Scheme Responsible Organization,Coding​Scheme​Responsible​Organization,ST,1,,00080116
"(0008,0117)",Context UID,Context​UID,UI,1,,00080117
"(0008,0118)",Mapping Resource UID,Mapping​Resource​UID,UI,1,,00080118
"(0008,0119)",Long Code Value,Long​Code​Value,UC,1,,00080119
"(0008,0120)",URN Code Value,URN​Code​Value,UR,1,,00080120
"(0008,0121)",Equivalent Code Sequence,Equivalent​Code​Sequence,SQ,1,,00080121
"(0008,0122)",Mapping Resource Name,Mapping​Resource​Name,LO,1,,00080122
"(0008,0123)",Context Group Identification Sequence,Context​Group​Identification​Sequence,SQ,1,,00080123
"(0008,0124)",Mapping Resource Identification Sequence,Mapping​Resource​Identification​Sequence,SQ,1,,00080124
"(0008,0201)",Timezone Offset From UTC,Timezone​Offset​From​UTC,SH,1,,00080201
"(0008,0202)",,,,,RET (2020c),00080202
"(0008,0220)",Responsible Group Code Sequence,Responsible​Group​Code​Sequence,SQ,1,,00080220
"(0008,0221)",Equipment Modality,Equipment​Modality,CS,1,,00080221
"(0008,0222)",Manufacturer's Related Model Group,Manufacturer​Related​Model​Group,LO,1,,00080222
"(0008,0300)",Private Data Element Characteristics Sequence,Private​Data​Element​Characteristics​Sequence,SQ,1,,00080300
"(0008,0301)",Private Group Reference,Private​Group​Reference,US,1,,00080301
"(0008,0302)",Private Creator Reference,Private​Creator​Reference,LO,1,,00080302
"(0008,0303)",Block Identifying Information Status,Block​Identifying​Information​Status,CS,1,,00080303
"(0008,0304)",Nonidentifying Private Elements,Nonidentifying​Private​Elements,US,1-n,,00080304
"(0008,0306)",Identifying Private Elements,Identifying​Private​Elements,US,1-n,,00080306
"(0008,0305)",Deidentification Action Sequence,Deidentification​Action​Sequence,SQ,1,,00080305
"(0008,0307)",Deidentification Action,Deidentification​Action,CS,1,,00080307
"(0008,0308)",Private Data Element,Private​Data​Element,US,1,,00080308
"(0008,0309)",Private Data Element Value Multiplicity,Private​Data​Element​Value​Multiplicity,UL,1-3,,00080309
"(0008,030A)",Private Data Element Value Representation,Private​Data​Element​Value​Representation,CS,1,,0008030A
"(0008,030B)",Private Data Element Number of Items,Private​Data​Element​Number​Of​Items,UL,1-2,,0008030B
"(0008,030C)",Private Data Element Name,Private​Data​Element​Name,UC,1,,0008030C
"(0008,030D)",Private Data Element Keyword,Private​Data​Element​Keyword,UC,1,,0008030D
"(0008,030E)",Private Data Element Description,Private​Data​Element​Description,UT,1,,0008030E
"(0008,030F)",Private Data Element Encoding,Private​Data​Element​Encoding,UT,1,,0008030F
"(0008,0310)",Private Data Element Definition Sequence,Private​Data​Element​Definition​Sequence,SQ,1,,00080310
"(0008,0400)",Scope of Inventory Sequence,Scope​Of​Inventory​Sequence,SQ,1,,00080400
"(0008,0401)",Inventory Purpose,Inventory​Purpose,LT,1,,00080401
"(0008,0402)",Inventory Instance Description,Inventory​Instance​Description,LT,1,,00080402
"(0008,0403)",Inventory Level,Inventory​Level,CS,1,,00080403
"(0008,0404)",Item Inventory DateTime,Item​Inventory​Date​Time,DT,1,,00080404
"(0008,0405)",Removed from Operational Use,Removed​From​Operational​Use,CS,1,,00080405
"(0008,0406)",Reason for Removal Code Sequence,Reason​For​Removal​Code​Sequence,SQ,1,,00080406
"(0008,0407)",Stored Instance Base URI,Stored​Instance​Base​URI,UR,1,,00080407
"(0008,0408)",Folder Access URI,Folder​Access​URI,UR,1,,00080408
"(0008,0409)",File Access URI,File​Access​URI,UR,1,,00080409
"(0008,040A)",Container File Type,Container​File​Type,CS,1,,0008040A
"(0008,040B)",Filename in Container,Filename​In​Container,UR,1,,0008040B
"(0008,040C)",File Offset in Container,File​Offset​In​Container,UV,1,,0008040C
"(0008,040D)",File Length in Container,File​Length​In​Container,UV,1,,0008040D
"(0008,040E)",Stored Instance Transfer Syntax UID,Stored​Instance​Transfer​Syntax​UID,UI,1,,0008040E
"(0008,040F)",Extended Matching Mechanisms,Extended​Matching​Mechanisms,CS,1-n,,0008040F
"(0008,0410)",Range Matching Sequence,Range​Matching​Sequence,SQ,1,,00080410
"(0008,0411)",List of UID Matching Sequence,List​Of​UID​Matching​Sequence,SQ,1,,00080411
"(0008,0412)",Empty Value Matching Sequence,Empty​Value​Matching​Sequence,SQ,1,,00080412
"(0008,0413)",General Matching Sequence,General​Matching​Sequence,SQ,1,,00080413
"(0008,0414)",Requested Status Interval,Requested​Status​Interval,US,1,,00080414
"(0008,0415)",Retain Instances,Retain​Instances,CS,1,,00080415
"(0008,0416)",Expiration DateTime,Expiration​Date​Time,DT,1,,00080416
"(0008,0417)",Transaction Status,Transaction​Status,CS,1,,00080417
"(0008,0418)",Transaction Status Comment,Transaction​Status​Comment,LT,1,,00080418
"(0008,0419)",File Set Access Sequence,File​Set​Access​Sequence,SQ,1,,00080419
"(0008,041A)",File Access Sequence,File​Access​Sequence,SQ,1,,0008041A
"(0008,041B)",Record Key,Record​Key,OB,1,,0008041B
"(0008,041C)",Prior Record Key,Prior​Record​Key,OB,1,,0008041C
"(0008,041D)",Metadata Sequence,Metadata​Sequence,SQ,1,,0008041D
"(0008,041E)",Updated Metadata Sequence,Updated​Metadata​Sequence,SQ,1,,0008041E
"(0008,041F)",Study Update DateTime,Study​Update​Date​Time,DT,1,,0008041F
"(0008,0420)",Inventory Access End Points Sequence,Inventory​Access​End​Points​Sequence,SQ,1,,00080420
"(0008,0421)",Study Access End Points Sequence,Study​Access​End​Points​Sequence,SQ,1,,00080421
"(0008,0422)",Incorporated Inventory Instance Sequence,Incorporated​Inventory​Instance​Sequence,SQ,1,,00080422
"(0008,0423)",Inventoried Studies Sequence,Inventoried​Studies​Sequence,SQ,1,,00080423
"(0008,0424)",Inventoried Series Sequence,Inventoried​Series​Sequence,SQ,1,,00080424
"(0008,0425)",Inventoried Instances Sequence,Inventoried​Instances​Sequence,SQ,1,,00080425
"(0008,0426)",Inventory Completion Status,Inventory​Completion​Status,CS,1,,00080426
"(0008,0427)",Number of Study Records in Instance,Number​Of​Study​Records​In​Instance,UL,1,,00080427
"(0008,0428)",Total Number of Study Records,Total​Number​Of​Study​Records,UV,1,,00080428
"(0008,0429)",Maximum Number of Records,Maximum​Number​Of​Records,UV,1,,00080429
"(0008,1000)",Network ID,Network​ID,AE,1,RET,00081000
"(0008,1010)",Station Name,Station​Name,SH,1,,00081010
"(0008,1030)",Study Description,Study​Description,LO,1,,00081030
"(0008,1032)",Procedure Code Sequence,Procedure​Code​Sequence,SQ,1,,00081032
"(0008,103E)",Series Description,Series​Description,LO,1,,0008103E
"(0008,103F)",Series Description Code Sequence,Series​Description​Code​Sequence,SQ,1,,0008103F
"(0008,1040)",Institutional Department Name,Institutional​Department​Name,LO,1,,00081040
"(0008,1041)",Institutional Department Type Code Sequence,Institutional​Department​Type​Code​Sequence,SQ,1,,00081041
"(0008,1048)",Physician(s) of Record,Physicians​Of​Record,PN,1-n,,00081048
"(0008,1049)",Physician(s) of Record Identification Sequence,Physicians​Of​Record​Identification​Sequence,SQ,1,,00081049
"(0008,1050)",Performing Physician's Name,Performing​Physician​Name,PN,1-n,,00081050
"(0008,1052)",Performing Physician Identification Sequence,Performing​Physician​Identification​Sequence,SQ,1,,00081052
"(0008,1060)",Name of Physician(s) Reading Study,Name​Of​Physicians​Reading​Study,PN,1-n,,00081060
"(0008,1062)",Physician(s) Reading Study Identification Sequence,Physicians​Reading​Study​Identification​Sequence,SQ,1,,00081062
"(0008,1070)",Operators' Name,Operators​Name,PN,1-n,,00081070
"(0008,1072)",Operator Identification Sequence,Operator​Identification​Sequence,SQ,1,,00081072
"(0008,1080)",Admitting Diagnoses Description,Admitting​Diagnoses​Description,LO,1-n,,00081080
"(0008,1084)",Admitting Diagnoses Code Sequence,Admitting​Diagnoses​Code​Sequence,SQ,1,,00081084
"(0008,1088)",Pyramid Description,Pyramid​Description,LO,1,,00081088
"(0008,1090)",Manufacturer's Model Name,Manufacturer​Model​Name,LO,1,,00081090
"(0008,1100)",Referenced Results Sequence,Referenced​Results​Sequence,SQ,1,RET (2004),00081100
"(0008,1110)",Referenced Study Sequence,Referenced​Study​Sequence,SQ,1,,00081110
"(0008,1111)",Referenced Performed Procedure Step Sequence,Referenced​Performed​Procedure​Step​Sequence,SQ,1,,00081111
"(0008,1112)",Referenced Instances by SOP Class Sequence,Referenced​Instances​By​SOP​Class​Sequence,SQ,1,,00081112
"(0008,1115)",Referenced Series Sequence,Referenced​Series​Sequence,SQ,1,,00081115
"(0008,1120)",Referenced Patient Sequence,Referenced​Patient​Sequence,SQ,1,,00081120
"(0008,1125)",Referenced Visit Sequence,Referenced​Visit​Sequence,SQ,1,,00081125
"(0008,1130)",Referenced Overlay Sequence,Referenced​Overlay​Sequence,SQ,1,RET (2004),00081130
"(0008,1134)",Referenced Stereometric Instance Sequence,Referenced​Stereometric​Instance​Sequence,SQ,1,,00081134
"(0008,113A)",Referenced Waveform Sequence,Referenced​Waveform​Sequence,SQ,1,,0008113A
"(0008,1140)",Referenced Image Sequence,Referenced​Image​Sequence,SQ,1,,00081140
"(0008,1145)",Referenced Curve Sequence,Referenced​Curve​Sequence,SQ,1,RET (2004),00081145
"(0008,114A)",Referenced Instance Sequence,Referenced​Instance​Sequence,SQ,1,,0008114A
"(0008,114B)",Referenced Real World Value Mapping Instance Sequence,Referenced​Real​World​Value​Mapping​Instance​Sequence,SQ,1,,0008114B
"(0008,114C)",Referenced Segmentation Sequence,Referenced​Segmentation​Sequence,SQ,1,,0008114C
"(0008,1150)",Referenced SOP Class UID,Referenced​SOP​Class​UID,UI,1,,00081150
"(0008,1155)",Referenced SOP Instance UID,Referenced​SOP​Instance​UID,UI,1,,00081155
"(0008,1156)",Definition Source Sequence,Definition​Source​Sequence,SQ,1,,00081156
"(0008,115A)",SOP Classes Supported,SOP​Classes​Supported,UI,1-n,,0008115A
"(0008,1160)",Referenced Frame Number,Referenced​Frame​Number,IS,1-n,,00081160
"(0008,1161)",Simple Frame List,Simple​Frame​List,UL,1-n,,00081161
"(0008,1162)",Calculated Frame List,Calculated​Frame​List,UL,3-3n,,00081162
"(0008,1163)",Time Range,Time​Range,FD,2,,00081163
"(0008,1164)",Frame Extraction Sequence,Frame​Extraction​Sequence,SQ,1,,00081164
"(0008,1167)",Multi-frame Source SOP Instance UID,Multi​Frame​Source​SOP​Instance​UID,UI,1,,00081167
"(0008,1190)",Retrieve URL,Retrieve​URL,UR,1,,00081190
"(0008,1195)",Transaction UID,Transaction​UID,UI,1,,00081195
"(0008,1196)",Warning Reason,Warning​Reason,US,1,,00081196
"(0008,1197)",Failure Reason,Failure​Reason,US,1,,00081197
"(0008,1198)",Failed SOP Sequence,Failed​SOP​Sequence,SQ,1,,00081198
"(0008,1199)",Referenced SOP Sequence,Referenced​SOP​Sequence,SQ,1,,00081199
"(0008,119A)",Other Failures Sequence,Other​Failures​Sequence,SQ,1,,0008119A
"(0008,119B)",Failed Study Sequence,Failed​Study​Sequence,SQ,1,,0008119B
"(0008,1200)",Studies Containing Other Referenced Instances Sequence,Studies​Containing​Other​Referenced​Instances​Sequence,SQ,1,,00081200
"(0008,1250)",Related Series Sequence,Related​Series​Sequence,SQ,1,,00081250
"(0008,2110)",Lossy Image Compression (Retired),Lossy​Image​Compression​Retired,CS,1,RET (1993),00082110
"(0008,2111)",Derivation Description,Derivation​Description,ST,1,,00082111
"(0008,2112)",Source Image Sequence,Source​Image​Sequence,SQ,1,,00082112
"(0008,2120)",Stage Name,Stage​Name,SH,1,,00082120
"(0008,2122)",Stage Number,Stage​Number,IS,1,,00082122
"(0008,2124)",Number of Stages,Number​Of​Stages,IS,1,,00082124
"(0008,2127)",View Name,View​Name,SH,1,,00082127
"(0008,2128)",View Number,View​Number,IS,1,,00082128
"(0008,2129)",Number of Event Timers,Number​Of​Event​Timers,IS,1,,00082129
"(0008,212A)",Number of Views in Stage,Number​Of​Views​In​Stage,IS,1,,0008212A
"(0008,2130)",Event Elapsed Time(s),Event​Elapsed​Times,DS,1-n,,00082130
"(0008,2132)",Event Timer Name(s),Event​Timer​Names,LO,1-n,,00082132
"(0008,2133)",Event Timer Sequence,Event​Timer​Sequence,SQ,1,,00082133
"(0008,2134)",Event Time Offset,Event​Time​Offset,FD,1,,00082134
"(0008,2135)",Event Code Sequence,Event​Code​Sequence,SQ,1,,00082135
"(0008,2142)",Start Trim,Start​Trim,IS,1,,00082142
"(0008,2143)",Stop Trim,Stop​Trim,IS,1,,00082143
"(0008,2144)",Recommended Display Frame Rate,Recommended​Display​Frame​Rate,IS,1,,00082144
"(0008,2200)",Transducer Position,Transducer​Position,CS,1,RET (1993),00082200
"(0008,2204)",Transducer Orientation,Transducer​Orientation,CS,1,RET (1993),00082204
"(0008,2208)",Anatomic Structure,Anatomic​Structure,CS,1,RET (1993),00082208
"(0008,2218)",Anatomic Region Sequence,Anatomic​Region​Sequence,SQ,1,,00082218
"(0008,2220)",Anatomic Region Modifier Sequence,Anatomic​Region​Modifier​Sequence,SQ,1,,00082220
"(0008,2228)",Primary Anatomic Structure Sequence,Primary​Anatomic​Structure​Sequence,SQ,1,,00082228
"(0008,2229)","Anatomic Structure, Space or Region Sequence",Anatomic​Structure​Space​Or​Region​Sequence,SQ,1,RET (2017c),00082229
"(0008,2230)",Primary Anatomic Structure Modifier Sequence,Primary​Anatomic​Structure​Modifier​Sequence,SQ,1,,00082230
"(0008,2240)",Transducer Position Sequence,Transducer​Position​Sequence,SQ,1,RET (2004),00082240
"(0008,2242)",Transducer Position Modifier Sequence,Transducer​Position​Modifier​Sequence,SQ,1,RET (2004),00082242
"(0008,2244)",Transducer Orientation Sequence,Transducer​Orientation​Sequence,SQ,1,RET (2004),00082244
"(0008,2246)",Transducer Orientation Modifier Sequence,Transducer​Orientation​Modifier​Sequence,SQ,1,RET (2004),00082246
"(0008,2251)",Anatomic Structure Space Or Region Code Sequence (Trial),Anatomic​Structure​Space​Or​Region​Code​Sequence​Trial,SQ,1,RET (2007),00082251
"(0008,2253)",Anatomic Portal Of Entrance Code Sequence (Trial),Anatomic​Portal​Of​Entrance​Code​Sequence​Trial,SQ,1,RET (2007),00082253
"(0008,2255)",Anatomic Approach Direction Code Sequence (Trial),Anatomic​Approach​Direction​Code​Sequence​Trial,SQ,1,RET (2007),00082255
"(0008,2256)",Anatomic Perspective Description (Trial),Anatomic​Perspective​Description​Trial,ST,1,RET (2007),00082256
"(0008,2257)",Anatomic Perspective Code Sequence (Trial),Anatomic​Perspective​Code​Sequence​Trial,SQ,1,RET (2007),00082257
"(0008,2258)",Anatomic Location Of Examining Instrument Description (Trial),Anatomic​Location​Of​Examining​Instrument​Description​Trial,ST,1,RET (2007),00082258
"(0008,2259)",Anatomic Location Of Examining Instrument Code Sequence (Trial),Anatomic​Location​Of​Examining​Instrument​Code​Sequence​Trial,SQ,1,RET (2007),00082259
"(0008,225A)",Anatomic Structure Space Or Region Modifier Code Sequence (Trial),Anatomic​Structure​Space​Or​Region​Modifier​Code​Sequence​Trial,SQ,1,RET (2007),0008225A
"(0008,225C)",On Axis Background Anatomic Structure Code Sequence (Trial),On​Axis​Background​Anatomic​Structure​Code​Sequence​Trial,SQ,1,RET (2007),0008225C
"(0008,3001)",Alternate Representation Sequence,Alternate​Representation​Sequence,SQ,1,,00083001
"(0008,3002)",Available Transfer Syntax UID,Available​Transfer​Syntax​UID,UI,1-n,,00083002
"(0008,3010)",Irradiation Event UID,Irradiation​Event​UID,UI,1-n,,00083010
"(0008,3011)",Source Irradiation Event Sequence,Source​Irradiation​Event​Sequence,SQ,1,,00083011
"(0008,3012)",Radiopharmaceutical Administration Event UID,Radiopharmaceutical​Administration​Event​UID,UI,1,,00083012
"(0008,4000)",Identifying Comments,Identifying​Comments,LT,1,RET,00084000
"(0008,9007)",Frame Type,Frame​Type,CS,4-5,,00089007
"(0008,9092)",Referenced Image Evidence Sequence,Referenced​Image​Evidence​Sequence,SQ,1,,00089092
"(0008,9121)",Referenced Raw Data Sequence,Referenced​Raw​Data​Sequence,SQ,1,,00089121
"(0008,9123)",Creator-Version UID,Creator​Version​UID,UI,1,,00089123
"(0008,9124)",Derivation Image Sequence,Derivation​Image​Sequence,SQ,1,,00089124
"(0008,9154)",Source Image Evidence Sequence,Source​Image​Evidence​Sequence,SQ,1,,00089154
"(0008,9205)",Pixel Presentation,Pixel​Presentation,CS,1,,00089205
"(0008,9206)",Volumetric Properties,Volumetric​Properties,CS,1,,00089206
"(0008,9207)",Volume Based Calculation Technique,Volume​Based​Calculation​Technique,CS,1,,00089207
"(0008,9208)",Complex Image Component,Complex​Image​Component,CS,1,,00089208
"(0008,9209)",Acquisition Contrast,Acquisition​Contrast,CS,1,,00089209
"(0008,9215)",Derivation Code Sequence,Derivation​Code​Sequence,SQ,1,,00089215
"(0008,9237)",Referenced Presentation State Sequence,Referenced​Presentation​State​Sequence,SQ,1,,00089237
"(0008,9410)",Referenced Other Plane Sequence,Referenced​Other​Plane​Sequence,SQ,1,,00089410
"(0008,9458)",Frame Display Sequence,Frame​Display​Sequence,SQ,1,,00089458
"(0008,9459)",Recommended Display Frame Rate in Float,Recommended​Display​Frame​Rate​In​Float,FL,1,,00089459
"(0008,9460)",Skip Frame Range Flag,Skip​Frame​Range​Flag,CS,1,,00089460
"(0010,0010)",Patient's Name,Patient​Name,PN,1,,00100010
"(0010,0020)",Patient ID,Patient​ID,LO,1,,00100020
"(0010,0021)",Issuer of Patient ID,Issuer​Of​Patient​ID,LO,1,,00100021
"(0010,0022)",Type of Patient ID,Type​Of​Patient​ID,CS,1,,00100022
"(0010,0024)",Issuer of Patient ID Qualifiers Sequence,Issuer​Of​Patient​ID​Qualifiers​Sequence,SQ,1,,00100024
"(0010,0026)",Source Patient Group Identification Sequence,Source​Patient​Group​Identification​Sequence,SQ,1,,00100026
"(0010,0027)",Group of Patients Identification Sequence,Group​Of​Patients​Identification​Sequence,SQ,1,,00100027
"(0010,0028)",Subject Relative Position in Image,Subject​Relative​Position​In​Image,US,3,,00100028
"(0010,0030)",Patient's Birth Date,Patient​Birth​Date,DA,1,,00100030
"(0010,0032)",Patient's Birth Time,Patient​Birth​Time,TM,1,,00100032
"(0010,0033)",Patient's Birth Date in Alternative Calendar,Patient​Birth​Date​In​Alternative​Calendar,LO,1,,00100033
"(0010,0034)",Patient's Death Date in Alternative Calendar,Patient​Death​Date​In​Alternative​Calendar,LO,1,,00100034
"(0010,0035)",Patient's Alternative Calendar,Patient​Alternative​Calendar,CS,1,,00100035
"(0010,0040)",Patient's Sex,Patient​Sex,CS,1,,00100040
"(0010,0050)",Patient's Insurance Plan Code Sequence,Patient​Insurance​Plan​Code​Sequence,SQ,1,,00100050
"(0010,0101)",Patient's Primary Language Code Sequence,Patient​Primary​Language​Code​Sequence,SQ,1,,00100101
"(0010,0102)",Patient's Primary Language Modifier Code Sequence,Patient​Primary​Language​Modifier​Code​Sequence,SQ,1,,00100102
"(0010,0200)",Quality Control Subject,Quality​Control​Subject,CS,1,,00100200
"(0010,0201)",Quality Control Subject Type Code Sequence,Quality​Control​Subject​Type​Code​Sequence,SQ,1,,00100201
"(0010,0212)",Strain Description,Strain​Description,UC,1,,00100212
"(0010,0213)",Strain Nomenclature,Strain​Nomenclature,LO,1,,00100213
"(0010,0214)",Strain Stock Number,Strain​Stock​Number,LO,1,,00100214
"(0010,0215)",Strain Source Registry Code Sequence,Strain​Source​Registry​Code​Sequence,SQ,1,,00100215
"(0010,0216)",Strain Stock Sequence,Strain​Stock​Sequence,SQ,1,,00100216
"(0010,0217)",Strain Source,Strain​Source,LO,1,,00100217
"(0010,0218)",Strain Additional Information,Strain​Additional​Information,UT,1,,00100218
"(0010,0219)",Strain Code Sequence,Strain​Code​Sequence,SQ,1,,00100219
"(0010,0221)",Genetic Modifications Sequence,Genetic​Modifications​​Sequence,SQ,1,,00100221
"(0010,0222)",Genetic Modifications Description,Genetic​Modifications​Description,UC,1,,00100222
"(0010,0223)",Genetic Modifications Nomenclature,Genetic​Modifications​Nomenclature,LO,1,,00100223
"(0010,0229)",Genetic Modifications Code Sequence,Genetic​Modifications​Code​Sequence,SQ,1,,00100229
"(0010,1000)",Other Patient IDs,Other​Patient​IDs,LO,1-n,RET (2017a),00101000
"(0010,1001)",Other Patient Names,Other​Patient​Names,PN,1-n,,00101001
"(0010,1002)",Other Patient IDs Sequence,Other​Patient​IDs​Sequence,SQ,1,,00101002
"(0010,1005)",Patient's Birth Name,Patient​Birth​Name,PN,1,,00101005
"(0010,1010)",Patient's Age,Patient​Age,AS,1,,00101010
"(0010,1020)",Patient's Size,Patient​Size,DS,1,,00101020
"(0010,1021)",Patient's Size Code Sequence,Patient​Size​Code​Sequence,SQ,1,,00101021
"(0010,1022)",Patient's Body Mass Index,Patient​Body​Mass​Index,DS,1,,00101022
"(0010,1023)",Measured AP Dimension,Measured​APDimension,DS,1,,00101023
"(0010,1024)",Measured Lateral Dimension,Measured​Lateral​Dimension,DS,1,,00101024
"(0010,1030)",Patient's Weight,Patient​Weight,DS,1,,00101030
"(0010,1040)",Patient's Address,Patient​Address,LO,1,,00101040
"(0010,1050)",Insurance Plan Identification,Insurance​Plan​Identification,LO,1-n,RET,00101050
"(0010,1060)",Patient's Mother's Birth Name,Patient​Mother​Birth​Name,PN,1,,00101060
"(0010,1080)",Military Rank,Military​Rank,LO,1,,00101080
"(0010,1081)",Branch of Service,Branch​Of​Service,LO,1,,00101081
"(0010,1090)",Medical Record Locator,Medical​Record​Locator,LO,1,RET (2017a),00101090
